Company_name,Country,gicSector,SNP,Company_ESG_pulse
ABB Ltd,Non spécifié,Industrials,90.0,0.443865
AMERCO,United States,Industrials,89.0,0.28355
"51job, Inc",Non spécifié,Industrials,89.0,0.776978
Vestas Wind Systems A/S,Non spécifié,Industrials,88.0,0.464044
China Southern Airlines Company Limited,Non spécifié,Industrials,87.0,0.763
Sensata Technologies Holding plc,Netherlands,Industrials,87.0,0.6808
"XPO Logistics, Inc",United States,Industrials,86.0,0.138961
BTS Group Holdings Public Company Limited,Non spécifié,Industrials,83.0,0.51585
KONE Oyj,Non spécifié,Industrials,83.0,0.527817
Siemens Aktiengesellschaft,Non spécifié,Industrials,83.0,0.507171
Ingersoll Rand Inc,United States,Industrials,82.0,-0.045364
Signify N.V,Non spécifié,Industrials,80.0,0.5141
Trane Technologies plc,Ireland,Industrials,78.0,0.677135
Airports of Thailand Public Company Limited,Non spécifié,Industrials,77.0,0.0
Toto Ltd,Non spécifié,Industrials,77.0,0.662189
Bureau Veritas SA,Non spécifié,Industrials,77.0,0.552458
Jacobs Engineering Group Inc,United States,Industrials,76.0,0.362117
ANA Holdings Inc,Non spécifié,Industrials,76.0,0.011523
Valmet Oyj,Non spécifié,Industrials,75.0,0.448448
East Japan Railway Company,Non spécifié,Industrials,75.0,-0.026936
